Scenario , App   , Devices , # tasks , Completed tasks , Failed tasks , Uncompleted tasks ,failed tasks due to VM capacity , failed tasks due to mobility , avg service time , avg processing time , avg network delay , avg server utilization
SINGLE_TIER, All_Generics ,200,48790,22338,26452,37,26271,181,1.703688,1.680126,0.023563,17.914477
SINGLE_TIER,AUGMENTED_REALITY,200,0,0,0,37,26271,181,1.703688,1.680126,0.023563,17.914477
SINGLE_TIER,HEALTH_APP,200,0,0,0,37,26271,181,1.703688,1.680126,0.023563,17.914477
SINGLE_TIER,HEAVY_COMP_APP,200,0,0,0,37,26271,181,1.703688,1.680126,0.023563,17.914477
SINGLE_TIER,INFOTAINMENT_APP,200,48790,22338,26452,37,26271,181,1.703688,1.680126,0.023563,17.914477
TWO_TIER, All_Generics ,200,48609,30502,18107,26,17925,182,1.345471,1.136949,0.208522,15.336837
TWO_TIER,AUGMENTED_REALITY,200,0,0,0,26,17925,182,1.345471,1.136949,0.208522,15.336837
TWO_TIER,HEALTH_APP,200,0,0,0,26,17925,182,1.345471,1.136949,0.208522,15.336837
TWO_TIER,HEAVY_COMP_APP,200,0,0,0,26,17925,182,1.345471,1.136949,0.208522,15.336837
TWO_TIER,INFOTAINMENT_APP,200,48609,30502,18107,26,17925,182,1.345471,1.136949,0.208522,15.336837
TWO_TIER_WITH_EO, All_Generics ,100,24362,24277,85,26,0,85,1.386209,1.258826,0.127384,12.962255
TWO_TIER_WITH_EO,AUGMENTED_REALITY,100,0,0,0,26,0,85,1.386209,1.258826,0.127384,12.962255
TWO_TIER_WITH_EO,HEALTH_APP,100,0,0,0,26,0,85,1.386209,1.258826,0.127384,12.962255
TWO_TIER_WITH_EO,HEAVY_COMP_APP,100,0,0,0,26,0,85,1.386209,1.258826,0.127384,12.962255
TWO_TIER_WITH_EO,INFOTAINMENT_APP,100,24362,24277,85,26,0,85,1.386209,1.258826,0.127384,12.962255
TWO_TIER, All_Generics ,100,24331,20523,3808,19,3713,95,1.230583,1.087323,0.143261,9.634496
TWO_TIER,AUGMENTED_REALITY,100,0,0,0,19,3713,95,1.230583,1.087323,0.143261,9.634496
TWO_TIER,HEALTH_APP,100,0,0,0,19,3713,95,1.230583,1.087323,0.143261,9.634496
TWO_TIER,HEAVY_COMP_APP,100,0,0,0,19,3713,95,1.230583,1.087323,0.143261,9.634496
TWO_TIER,INFOTAINMENT_APP,100,24331,20523,3808,19,3713,95,1.230583,1.087323,0.143261,9.634496
SINGLE_TIER, All_Generics ,100,24235,16788,7447,13,7341,106,1.46626,1.445153,0.021108,11.777353
SINGLE_TIER,AUGMENTED_REALITY,100,0,0,0,13,7341,106,1.46626,1.445153,0.021108,11.777353
SINGLE_TIER,HEALTH_APP,100,0,0,0,13,7341,106,1.46626,1.445153,0.021108,11.777353
SINGLE_TIER,HEAVY_COMP_APP,100,0,0,0,13,7341,106,1.46626,1.445153,0.021108,11.777353
SINGLE_TIER,INFOTAINMENT_APP,100,24235,16788,7447,13,7341,106,1.46626,1.445153,0.021108,11.777353
